dataset,window_tag,hidden,mode,bin,draw_source,n0_value,n_runs,mean_selected_count,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard,hidden_tag
FD001,W30_step1,10,sensors,low,train,1,5,1.0,0.1,0.0,1.0,h10
FD001,W30_step1,10,sensors,low,train,2,5,2.0,0.4333333333333333,0.0,1.0,h10
FD001,W30_step1,10,sensors,low,train,3,5,3.0,0.47,0.2,1.0,h10
FD001,W30_step1,10,sensors,low,train,4,5,4.0,0.5866666666666667,0.3333333333333333,1.0,h10
FD001,W30_step1,10,sensors,low,train,5,5,5.0,0.5869047619047619,0.25,1.0,h10
FD001,W30_step1,10,sensors,low,train,6,5,6.0,0.5976190476190476,0.3333333333333333,1.0,h10
FD001,W30_step1,10,sensors,low,train,7,5,7.0,0.6077777777777779,0.4,1.0,h10
FD001,W30_step1,10,sensors,low,train,8,5,8.0,0.5797979797979796,0.3333333333333333,0.7777777777777778,h10
FD001,W30_step1,10,sensors,low,train,9,5,9.0,0.6302797202797203,0.3846153846153846,0.8,h10
FD001,W30_step1,10,sensors,low,train,10,5,10.0,0.7296037296037297,0.5384615384615384,0.8181818181818182,h10
FD001,W30_step1,10,sensors,low,train,11,5,11.0,0.8217948717948719,0.6923076923076923,1.0,h10
FD001,W30_step1,10,sensors,low,train,12,5,12.0,0.8615384615384615,0.8461538461538461,1.0,h10
FD001,W30_step1,10,sensors,low,train,13,5,13.0,0.9428571428571428,0.8571428571428571,1.0,h10
FD001,W30_step1,10,sensors,low,train,14,5,14.0,1.0,1.0,1.0,h10
FD001,W30_step1,10,windows,low,train,1,5,1.0,0.4,0.0,1.0,h10
FD001,W30_step1,10,windows,low,train,2,5,2.0,0.2666666666666666,0.0,1.0,h10
FD001,W30_step1,10,windows,low,train,3,5,3.0,0.3,0.0,0.5,h10
FD001,W30_step1,10,windows,low,train,4,5,4.0,0.2647619047619048,0.1428571428571428,0.6,h10
FD001,W30_step1,10,windows,low,train,5,5,5.0,0.2619047619047619,0.1111111111111111,0.4285714285714285,h10
FD001,W30_step1,10,windows,low,train,6,5,6.0,0.3814285714285714,0.2,0.7142857142857143,h10
FD001,W30_step1,10,windows,low,train,7,5,7.0,0.3890404040404039,0.1666666666666666,0.75,h10
FD001,W30_step1,10,windows,low,train,8,5,8.0,0.3655944055944056,0.2307692307692307,0.6,h10
FD001,W30_step1,10,windows,low,train,9,5,9.0,0.446053946053946,0.2857142857142857,0.6363636363636364,h10
FD001,W30_step1,10,windows,low,train,10,5,10.0,0.4648351648351648,0.3333333333333333,0.6666666666666666,h10
FD001,W30_step1,10,windows,low,train,11,5,11.0,0.5416117216117216,0.4666666666666667,0.6923076923076923,h10
FD001,W30_step1,10,windows,low,train,12,5,12.0,0.5914285714285714,0.5,0.7142857142857143,h10
FD001,W30_step1,10,windows,low,train,13,5,13.0,0.6371078431372549,0.5294117647058824,0.7333333333333333,h10
FD001,W30_step1,10,windows,low,train,14,5,14.0,0.6525971792225662,0.4736842105263157,0.75,h10
FD001,W30_step1,10,windows,low,train,15,5,15.0,0.7123065015479876,0.5,0.875,h10
FD001,W30_step1,10,windows,low,train,16,5,16.0,0.7057309941520468,0.6,0.7777777777777778,h10
FD001,W30_step1,10,windows,low,train,17,5,17.0,0.6699430394167237,0.5454545454545454,0.7894736842105263,h10
FD001,W30_step1,10,windows,low,train,18,5,18.0,0.6761038961038961,0.6363636363636364,0.8,h10
FD001,W30_step1,10,windows,low,train,19,5,19.0,0.6465415019762847,0.5833333333333334,0.7272727272727273,h10
FD001,W30_step1,10,windows,low,train,20,5,20.0,0.6689855072463767,0.6,0.7391304347826086,h10
FD001,W30_step1,10,windows,low,train,21,5,21.0,0.7313645484949833,0.6153846153846154,0.8260869565217391,h10
FD001,W30_step1,10,windows,low,train,22,5,22.0,0.734051282051282,0.6923076923076923,0.8333333333333334,h10
FD001,W30_step1,10,windows,low,train,23,5,23.0,0.7374595034595035,0.6428571428571429,0.84,h10
FD001,W30_step1,10,windows,low,train,24,5,24.0,0.7543426382047071,0.6551724137931034,0.92,h10
FD001,W30_step1,10,windows,low,train,25,5,25.0,0.7619503740193396,0.6666666666666666,0.8518518518518519,h10
FD001,W30_step1,10,windows,low,train,26,5,26.0,0.7875533661740558,0.7333333333333333,0.8571428571428571,h10
FD001,W30_step1,10,windows,low,train,27,5,27.0,0.8310344827586207,0.8,0.8620689655172413,h10
FD001,W30_step1,10,windows,low,train,28,5,28.0,0.8795402298850575,0.8666666666666667,0.9310344827586208,h10
FD001,W30_step1,10,windows,low,train,29,5,29.0,0.94,0.9333333333333332,1.0,h10
FD001,W30_step1,10 10,sensors,low,train,1,5,1.0,0.1,0.0,1.0,h10_10
FD001,W30_step1,10 10,sensors,low,train,2,5,2.0,0.0666666666666666,0.0,0.3333333333333333,h10_10
FD001,W30_step1,10 10,sensors,low,train,3,5,3.0,0.11,0.0,0.5,h10_10
FD001,W30_step1,10 10,sensors,low,train,4,5,4.0,0.1571428571428571,0.0,0.3333333333333333,h10_10
FD001,W30_step1,10 10,sensors,low,train,5,5,5.0,0.2567460317460317,0.0,0.6666666666666666,h10_10
FD001,W30_step1,10 10,sensors,low,train,6,5,6.0,0.3024242424242424,0.0909090909090909,0.5,h10_10
FD001,W30_step1,10 10,sensors,low,train,7,5,7.0,0.3501515151515151,0.1666666666666666,0.75,h10_10
FD001,W30_step1,10 10,sensors,low,train,8,5,8.0,0.4202952602952603,0.2307692307692307,0.7777777777777778,h10_10
FD001,W30_step1,10 10,sensors,low,train,9,5,9.0,0.4508791208791209,0.2857142857142857,0.8,h10_10
FD001,W30_step1,10 10,sensors,low,train,10,5,10.0,0.5224775224775224,0.4285714285714285,0.8181818181818182,h10_10
FD001,W30_step1,10 10,sensors,low,train,11,5,11.0,0.5867399267399267,0.4666666666666667,0.6923076923076923,h10_10
FD001,W30_step1,10 10,sensors,low,train,12,5,12.0,0.6589010989010988,0.6,0.8461538461538461,h10_10
FD001,W30_step1,10 10,sensors,low,train,13,5,13.0,0.758095238095238,0.7333333333333333,0.8571428571428571,h10_10
FD001,W30_step1,10 10,sensors,low,train,14,5,14.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,h10_10
FD001,W30_step1,10 10,windows,low,train,1,5,1.0,0.6,0.0,1.0,h10_10
FD001,W30_step1,10 10,windows,low,train,2,5,2.0,0.2,0.0,0.3333333333333333,h10_10
FD001,W30_step1,10 10,windows,low,train,3,5,3.0,0.14,0.0,0.2,h10_10
FD001,W30_step1,10 10,windows,low,train,4,5,4.0,0.1333333333333333,0.0,0.3333333333333333,h10_10
FD001,W30_step1,10 10,windows,low,train,5,5,5.0,0.1484126984126984,0.0,0.4285714285714285,h10_10
FD001,W30_step1,10 10,windows,low,train,6,5,6.0,0.1545454545454545,0.0,0.3333333333333333,h10_10
FD001,W30_step1,10 10,windows,low,train,7,5,7.0,0.1638694638694638,0.0,0.2727272727272727,h10_10
FD001,W30_step1,10 10,windows,low,train,8,5,8.0,0.2253812853812853,0.0,0.4545454545454545,h10_10
FD001,W30_step1,10 10,windows,low,train,9,5,9.0,0.2637087912087912,0.125,0.3846153846153846,h10_10
FD001,W30_step1,10 10,windows,low,train,10,5,10.0,0.2602941176470588,0.1764705882352941,0.3333333333333333,h10_10
FD001,W30_step1,10 10,windows,low,train,11,5,11.0,0.2686704506363949,0.1578947368421052,0.375,h10_10
FD001,W30_step1,10 10,windows,low,train,12,5,12.0,0.294984520123839,0.2,0.4117647058823529,h10_10
FD001,W30_step1,10 10,windows,low,train,13,5,13.0,0.2963271815903394,0.1818181818181818,0.3684210526315789,h10_10
FD001,W30_step1,10 10,windows,low,train,14,5,14.0,0.3163636363636363,0.2727272727272727,0.4,h10_10
FD001,W30_step1,10 10,windows,low,train,15,5,15.0,0.3474731789949181,0.25,0.4285714285714285,h10_10
FD001,W30_step1,10 10,windows,low,train,16,5,16.0,0.3714985304550521,0.2307692307692307,0.4545454545454545,h10_10
FD001,W30_step1,10 10,windows,low,train,17,5,17.0,0.4092960372960372,0.3076923076923077,0.5454545454545454,h10_10
FD001,W30_step1,10 10,windows,low,train,18,5,18.0,0.4524522144522144,0.3333333333333333,0.6363636363636364,h10_10
FD001,W30_step1,10 10,windows,low,train,19,5,19.0,0.4967822708692274,0.4074074074074074,0.7272727272727273,h10_10
FD001,W30_step1,10 10,windows,low,train,20,5,20.0,0.5206841268010683,0.3793103448275862,0.7391304347826086,h10_10
FD001,W30_step1,10 10,windows,low,train,21,5,21.0,0.5714927792514,0.4482758620689655,0.75,h10_10
FD001,W30_step1,10 10,windows,low,train,22,5,22.0,0.6085488049625981,0.5172413793103449,0.76,h10_10
FD001,W30_step1,10 10,windows,low,train,23,5,23.0,0.6562853493887977,0.5862068965517241,0.7037037037037037,h10_10
FD001,W30_step1,10 10,windows,low,train,24,5,24.0,0.679255610290093,0.6551724137931034,0.7777777777777778,h10_10
FD001,W30_step1,10 10,windows,low,train,25,5,25.0,0.713464696223317,0.6666666666666666,0.7857142857142857,h10_10
FD001,W30_step1,10 10,windows,low,train,26,5,26.0,0.7576683087027914,0.7333333333333333,0.8571428571428571,h10_10
FD001,W30_step1,10 10,windows,low,train,27,5,27.0,0.8062068965517242,0.8,0.8620689655172413,h10_10
FD001,W30_step1,10 10,windows,low,train,28,5,28.0,0.8731034482758622,0.8666666666666667,0.9310344827586208,h10_10
FD001,W30_step1,10 10,windows,low,train,29,5,29.0,0.94,0.9333333333333332,1.0,h10_10
FD001,W30_step1,10 10 10,sensors,low,train,1,5,1.0,0.1,0.0,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,2,5,2.0,0.2666666666666666,0.0,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,3,5,3.0,0.49,0.2,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,4,5,4.0,0.4876190476190475,0.1428571428571428,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,5,5,5.0,0.4047619047619047,0.25,0.6666666666666666,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,6,5,6.0,0.5523809523809524,0.3333333333333333,0.7142857142857143,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,7,5,7.0,0.6272222222222222,0.4,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,8,5,8.0,0.5951515151515151,0.4545454545454545,0.7777777777777778,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,9,5,9.0,0.6918181818181819,0.5,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,10,5,10.0,0.8212121212121213,0.6666666666666666,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,11,5,11.0,0.8217948717948718,0.6923076923076923,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,12,5,12.0,0.7973626373626373,0.6,1.0,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,13,5,13.0,0.7952380952380952,0.7333333333333333,0.8571428571428571,h10_10_10
FD001,W30_step1,10 10 10,sensors,low,train,14,5,14.0,0.8933333333333333,0.8666666666666667,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,1,5,1.0,0.6,0.0,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,2,5,2.0,0.3,0.0,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,3,5,3.0,0.38,0.0,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,4,5,4.0,0.4685714285714285,0.1428571428571428,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,5,5,5.0,0.4956349206349206,0.1111111111111111,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,6,5,6.0,0.4942857142857143,0.2,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,7,5,7.0,0.5106565656565657,0.2727272727272727,0.75,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,8,5,8.0,0.6674747474747474,0.4545454545454545,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,9,5,9.0,0.6281818181818182,0.5,0.8,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,10,5,10.0,0.5421245421245421,0.4285714285714285,0.6666666666666666,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,11,5,11.0,0.531135531135531,0.4666666666666667,0.6923076923076923,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,12,5,12.0,0.5478151260504203,0.4117647058823529,0.7142857142857143,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,13,5,13.0,0.5785410830999065,0.4444444444444444,0.8571428571428571,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,14,5,14.0,0.6091812865497077,0.4736842105263157,0.8666666666666667,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,15,5,15.0,0.5723370927318296,0.4285714285714285,0.875,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,16,5,16.0,0.583473836105415,0.4545454545454545,0.7777777777777778,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,17,5,17.0,0.6079126670431018,0.4782608695652174,0.7,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,18,5,18.0,0.6419028797289668,0.5,0.8,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,19,5,19.0,0.6718426501035196,0.5833333333333334,0.8095238095238095,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,20,5,20.0,0.7120421607378129,0.6,0.8181818181818182,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,21,5,21.0,0.7677351778656126,0.68,0.9090909090909092,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,22,5,22.0,0.79914381270903,0.6923076923076923,0.9130434782608696,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,23,5,23.0,0.8743703703703704,0.7037037037037037,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,24,5,24.0,0.8562148962148962,0.7142857142857143,0.92,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,25,5,25.0,0.8609567316463869,0.7241379310344828,0.9230769230769232,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,26,5,26.0,0.8713738368910782,0.7931034482758621,0.925925925925926,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,27,5,27.0,0.8696059113300493,0.8,0.9285714285714286,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,28,5,28.0,0.8928735632183908,0.8666666666666667,1.0,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,29,5,29.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,h10_10_10
FD002,W30_step1,10,sensors,low,train,1,5,1.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,2,5,2.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,3,5,3.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,4,5,4.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,5,5,5.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,6,5,6.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,7,5,7.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,8,5,8.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,9,5,9.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,10,5,10.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,11,5,11.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,12,5,12.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,13,5,13.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,14,5,14.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,15,5,15.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,16,5,16.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,17,5,17.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,18,5,18.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,19,5,19.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,sensors,low,train,20,5,20.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,1,5,1.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,2,5,2.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,3,5,3.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,4,5,4.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,5,5,5.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,6,5,6.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,7,5,7.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,8,5,8.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,9,5,9.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,10,5,10.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,11,5,11.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,12,5,12.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,13,5,13.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,14,5,14.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,15,5,15.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,16,5,16.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,17,5,17.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,18,5,18.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,19,5,19.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,20,5,20.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,21,5,21.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,22,5,22.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,23,5,23.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,24,5,24.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,25,5,25.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,26,5,26.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,27,5,27.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,28,5,28.0,1.0,1.0,1.0,h10
